sales_id,sales_date,cust_id,card_no,bracnh_code,amount
17236801,20230514,150026,4050168000579091,0001,2570.50
17236802,20230514,162054,4050168020779563,0002,6980.00
17236803,20230514,158932,4050168030456789,0002,1340.75
17236804,20230516,149876,4050168041234567,0003,2890.00
17236805,NULL,160001,4050168059876543,0002,4520.25
17236806,20230516,151234,4050168061122334,0005,3100.00
17236807,20230517,163210,4050168075566778,0002,2750.80
17236808,20230517,157890,4050168089988776,0002,3999.99
17236809,20230517,162295,4050168094326550,0002,2378.36
17236810,20230517,163232,4050168036046535,0001,1977.25
17236811,20230517,152507,4050168029211916,0003,4723.05
17236812,20230518,155976,4050168055287738,0002,6481.73
17236813,20230518,160887,4050168097337104,0005,2734.17
17236814,20230518,162574,4050168080168459,0003,4253.87
17236815,NULL,NULL,4050168074662586,0001,3373.66
17236816,20230519,156507,4050168029691026,0002,4852.01
17236817,20230519,154383,4050168068052870,0005,4359.06
17236818,20230519,155551,4050168019206097,0005,4192.67
17236819,20230520,155758,4050168057002641,0002,1632.77
17236820,20230520,157493,4050168036984541,0001,2870.00
