CardNumber,CardholderName,ExpirationDate,CVV,CardType
4539148803436467,John Doe,12/26,123,Visa
5500000000000004,Jane Smith,09/25,456,MasterCard
371449635398431,Emily Johnson,11/24,789,American Express
6011000990139424,Michael Brown,07/27,321,Discover
3566002020360505,Chris Lee,05/23,654,JCB
5105105105105100,Alice Davis,01/28,987,MasterCard
4111111111111111,Bob Miller,10/26,234,Visa
378282246310005,Sarah,Wilson,03/25,567,American Express
6011111111111117,David Moore,06/24,890,Discover
3530111333300000,Linda Taylor,08/27,135,JCB
